fase,partido,posicion_partido,team,prob
OF,OF1,OF1A,Portugal,24.427
OF,OF1,OF1H,Uruguay,20.625
OF,OF2,OF2A,Croatia,14.938
OF,OF2,OF2H,France,33.828
OF,OF3,OF3H,Brazil,51.079
OF,OF3,OF3A,Mexico,9.628
OF,OF4,OF4H,Belgium,27.682
OF,OF4,OF4A,England,32.053
OF,OF5,OF5A,Portugal,27.243
OF,OF5,OF5H,Spain,42.168
OF,OF6,OF6H,Argentina,42.916
OF,OF6,OF6A,Peru,10.23
OF,OF7,OF7H,Germany,43.981
OF,OF7,OF7A,Switzerland,15.374
OF,OF8,OF8A,Belgium,19.854
OF,OF8,OF8H,Colombia,26.942
QF,QF1,QF1A,France,20.364
QF,QF1,QF1H,Portugal,13.243
QF,QF2,QF2H,Brazil,35.427
QF,QF2,QF2A,England,15.226
QF,QF3,QF3A,Argentina,25.205
QF,QF3,QF3H,Spain,25.491
QF,QF4,QF4A,Colombia,12.518
QF,QF4,QF4H,Germany,29.466
SF,SF1,SF1A,Brazil,23.188
SF,SF1,SF1H,France,10.667
SF,SF2,SF2A,Germany,16.5
SF,SF2,SF2H,Spain,15.629
F,F,FH,Brazil,16.932
F,F,FA,Spain,12.727
